"X1","X2","count","plot_order"
"1","10",1,4
"2","10",1,4
"3","11",1,4
"3","14",1,4
"4","5",1,4
"5","1",1,4
"5","4",1,4
"6",NA,1,4
"7","7",1,4
"8","9",1,4
"8","10",1,4
"9","8",1,4
"10","1",1,4
"10","8",1,4
"11","3",1,4
"12","6",1,4
"12","8",1,4
"13","13",1,4
"14","3",1,4
"15","15",1,4
"16","14",1,4
"1","1",2,7
"2","3",2,7
"3","2",2,7
"4","5",2,7
"5","4",2,7
"6","12",2,7
"7","10",2,7
"7","11",2,7
"8","8",2,7
"9","9",2,7
"10","7",2,7
"10","11",2,7
"11","10",2,7
"11","14",2,7
"12","6",2,7
"13","13",2,7
"14","11",2,7
"15","3",2,7
"16","5",2,7
"1",NA,3,10
"2","2",3,10
"3","3",3,10
"4","4",3,10
"5","5",3,10
"6",NA,3,10
"7","11",3,10
"8","1",3,10
"9","9",3,10
"10","11",3,10
"11","7",3,10
"11","10",3,10
"12",NA,3,10
"13","6",3,10
"13","12",3,10
"14","14",3,10
"15","15",3,10
"16","16",3,10
"1",NA,4,9
"2","5",4,9
"3","3",4,9
"4","4",4,9
"5","2",4,9
"6","12",4,9
"7","11",4,9
"8","11",4,9
"9","9",4,9
"10","14",4,9
"11","1",4,9
"11","7",4,9
"11","8",4,9
"11","14",4,9
"12",NA,4,9
"13","15",4,9
"14","10",4,9
"14","11",4,9
"15","13",4,9
"16","16",4,9
"1","12",5,3
"2","2",5,3
"3","3",5,3
"4","4",5,3
"5","5",5,3
"6","12",5,3
"7","7",5,3
"8","8",5,3
"9","9",5,3
"10","11",5,3
"11","10",5,3
"12","6",5,3
"13","13",5,3
"14","14",5,3
"15","15",5,3
"16","16",5,3
"1","1",6,6
"2","2",6,6
"3","3",6,6
"4","5",6,6
"5","4",6,6
"5","16",6,6
"6","12",6,6
"7","10",6,6
"8","8",6,6
"9","9",6,6
"10","11",6,6
"11","10",6,6
"12","6",6,6
"13","13",6,6
"14","14",6,6
"15","16",6,6
"16","15",6,6
"1","9",7,5
"2","3",7,5
"3","2",7,5
"4","5",7,5
"5","4",7,5
"6","13",7,5
"7","16",7,5
"8","9",7,5
"8","11",7,5
"9","8",7,5
"10","8",7,5
"11","8",7,5
"12",NA,7,5
"13","4",7,5
"13","6",7,5
"13","12",7,5
"14","14",7,5
"15","15",7,5
"16",NA,7,5
"1","1",8,1
"2","3",8,1
"2","13",8,1
"3","2",8,1
"3","15",8,1
"4","16",8,1
"5","5",8,1
"6","6",8,1
"7","7",8,1
"8","9",8,1
"8","11",8,1
"9","8",8,1
"10","14",8,1
"11","8",8,1
"11","12",8,1
"11","14",8,1
"12",NA,8,1
"13",NA,8,1
"14","10",8,1
"14","11",8,1
"15","3",8,1
"16","4",8,1
"1","12",9,11
"2","3",9,11
"3","2",9,11
"3","12",9,11
"4",NA,9,11
"5","4",9,11
"6","6",9,11
"7","7",9,11
"8","11",9,11
"9","9",9,11
"10","11",9,11
"10","14",9,11
"10","16",9,11
"11","8",9,11
"11","10",9,11
"12",NA,9,11
"13","13",9,11
"14","4",9,11
"14","10",9,11
"15","15",9,11
"16","10",9,11
"1","1",10,8
"2","3",10,8
"2","12",10,8
"3",NA,10,8
"4",NA,10,8
"5","6",10,8
"6","5",10,8
"7","5",10,8
"8","9",10,8
"8","10",10,8
"9","8",10,8
"10","8",10,8
"10","15",10,8
"11","4",10,8
"12","2",10,8
"13","13",10,8
"14","14",10,8
"15",NA,10,8
"16","16",10,8
"1","2",11,12
"2","3",11,12
"2","4",11,12
"3","2",11,12
"3","6",11,12
"4","2",11,12
"4","5",11,12
"5","4",11,12
"6","3",11,12
"7","10",11,12
"7","11",11,12
"8","8",11,12
"9",NA,11,12
"10","7",11,12
"11",NA,11,12
"12","10",11,12
"12","13",11,12
"13","12",11,12
"14","9",11,12
"15","15",11,12
"16","16",11,12
"1","16",12,2
"2",NA,12,2
"3","6",12,2
"3","12",12,2
"4","4",12,2
"5","5",12,2
"6","3",12,2
"6","10",12,2
"6","12",12,2
"7","7",12,2
"8","8",12,2
"9","2",12,2
"10",NA,12,2
"11","14",12,2
"12","3",12,2
"12","6",12,2
"12","13",12,2
"13","12",12,2
"14","11",12,2
"15","15",12,2
"16","1",12,2
