X1,X2,count,plot_order,rep,type,plot_order2,svg
1,10,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,13,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,2,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,15,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,6,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,4,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,4,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,10,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,11,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
9,4,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,1,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,7,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
10,11,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,8,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,10,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
11,15,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
12,12,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
13,NA,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
14,5,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,3,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
15,11,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
16,6,1,11,10,M2,9,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
1,1,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,3,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
2,5,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,2,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
3,8,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
4,4,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
5,2,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
6,6,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
7,14,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
8,9,2,9,12,M2,8,Lineup-Images/ForExperimentTraining/svgs/filed1b049cd6954.svg
